key,English/reference,한국어,日本語,français (France),português (Brasil),review_type,human_reviewer,human_notes
%@s tend to be your highest-scoring days,%@s tend to be your highest-scoring days,%@에 점수가 가장 높은 편이에요,%@はスコアが高い傾向があります,Vos scores sont souvent plus élevés le %@,Suas notas costumam ser mais altas: %@,AI linguistic pass; human review pending,,
%@글,%@ posts,%@글,投稿 %@件,Publications : %@,Publicações: %@,AI linguistic pass; human review pending,,
%@로 로그인됨,Signed in with %@,%@로 로그인됨,%@でログイン中,Connexion via %@,Conectado com %@,AI linguistic pass; human review pending,,
%@명 참여,%@ participating,%@명 참여,%@人が参加,Participation : %@,Participantes: %@,AI linguistic pass; human review pending,,
%lld,%lld,,%lld,%lld,%lld,AI linguistic pass; human review pending,,
%lld : %lld,%1$lld : %2$lld,,%1$lld : %2$lld,%1$lld : %2$lld,%1$lld : %2$lld,AI linguistic pass; human review pending,,
%lld / %lld일,%1$lld / %2$lld일,,%1$lld / %2$lld日,%1$lld / %2$lld jours,%1$lld / %2$lld dias,AI linguistic pass; human review pending,,
%lld Days,%lld Days,%lld일,%lld日,"[one] %lld jour
[other] %lld jours","[one] %lld dia
[other] %lld dias",AI linguistic pass; human review pending,,
%lld days of your life scored so far,%lld days of your life scored so far,지금까지 %lld일을 기록했어요,これまでに%lld日分を記録,Journées notées : %lld,Dias avaliados até agora: %lld,AI linguistic pass; human review pending,,
%lld days recorded in a row,%lld days recorded in a row,%lld일 연속 기록 중,%lld日連続で記録,Jours consécutifs : %lld,Dias seguidos: %lld,AI linguistic pass; human review pending,,
%lld Entries,%lld Entries,%lld개,記録 %lld件,Entrées : %lld,Registros: %lld,AI linguistic pass; human review pending,,
%lld points higher than this week's average,%lld points higher than this week's average,이번 주 평균보다 %lld점 높아요,今週の平均より%lld点高め,"[one] %lld point au-dessus de la moyenne de la semaine
[other] %lld points au-dessus de la moyenne de la semaine","[one] %lld ponto acima da média da semana
[other] %lld pontos acima da média da semana",AI linguistic pass; human review pending,,
%lld points softer than this week's average,%lld points softer than this week's average,이번 주 평균보다 %lld점 낮아요,今週の平均より%lld点低め,"[one] %lld point en dessous de la moyenne de la semaine
[other] %lld points en dessous de la moyenne de la semaine","[one] %lld ponto abaixo da média da semana
[other] %lld pontos abaixo da média da semana",AI linguistic pass; human review pending,,
%lld pts,%lld pts,%lld점,%lld点,%lld pts,%lld pts,AI linguistic pass; human review pending,,
%lld softer than your week so far,%lld softer than your week so far,이번 주 평균보다 %lld,今週の平均より%lld点低め,"[one] %lld point sous votre moyenne de la semaine
[other] %lld points sous votre moyenne de la semaine","[one] %lld ponto abaixo da sua média da semana
[other] %lld pontos abaixo da sua média da semana",AI linguistic pass; human review pending,,
%lld/80자,%lld/80자,,%lld/80文字,"[one] %lld/80 caractère
[other] %lld/80 caractères","[one] %lld/80 caractere
[other] %lld/80 caracteres",AI linguistic pass; human review pending,,
%lld/100,%lld/100,,%lld/100,%lld/100,%lld/100,AI linguistic pass; human review pending,,
%lld%%,%lld%%,,%lld%%,%lld%%,%lld%%,AI linguistic pass; human review pending,,
%lld명 참여,%lld명 참여,,%lld人が参加,Participation : %lld,Participantes: %lld,AI linguistic pass; human review pending,,
%lld일,%lld일,,%lld日,"[one] %lld jour
[other] %lld jours","[one] %lld dia
[other] %lld dias",AI linguistic pass; human review pending,,
© 2026 Scoor. All rights reserved.,© 2026 Scoor. All rights reserved.,© 2026 Scoor. All rights reserved.,© 2026 Scoor. All rights reserved.,© 2026 Scoor. Tous droits réservés.,© 2026 Scoor. Todos os direitos reservados.,AI linguistic pass; human review pending,,
↑ 감정 상승,↑ Trending up,↑ 감정 상승,↑ 気分が上向き,↑ Humeur en hausse,↑ Humor melhorando,AI linguistic pass; human review pending,,
↓ 감정 하락,↓ Trending down,↓ 감정 하락,↓ 気分が下向き,↓ Humeur en baisse,↓ Humor em queda,AI linguistic pass; human review pending,,
+%lld above your week so far,+%lld above your week so far,이번 주 평균보다 +%lld,今週の平均より+%lld点,+%lld par rapport à votre moyenne de la semaine,+%lld em relação à sua média da semana,AI linguistic pass; human review pending,,
+0.2,+0.2,,+0.2,"+0,2","+0,2",AI linguistic pass; human review pending,,
✨ 새 토픽,✨ New topic,✨ 새 토픽,✨ 新しいトピック,✨ Nouveau sujet,✨ Novo assunto,AI linguistic pass; human review pending,,
🔥 활발히 토론 중,🔥 Active discussion,🔥 활발히 토론 중,🔥 コメントが集まっています,🔥 Discussion animée,🔥 Conversa movimentada,AI linguistic pass; human review pending,,
0: %@ · 100: %@,0: %1$@ · 100: %2$@,,0：%1$@ · 100：%2$@,0 : %1$@ · 100 : %2$@,0: %1$@ · 100: %2$@,AI linguistic pass; human review pending,,
0점의 의미,0점의 의미,,0点の意味,Signification de 0,O que significa 0,AI linguistic pass; human review pending,,
1 post,1 post,1글,投稿1件,1 publication,1 publicação,AI linguistic pass; human review pending,,
7-DAY AVG,7-DAY AVG,7일 평균,7日間の平均,MOY. SUR 7 JOURS,MÉDIA DE 7 DIAS,AI linguistic pass; human review pending,,
7.5,7.5,,7.5,"7,5","7,5",AI linguistic pass; human review pending,,
7일 평균,7-day average,7일 평균,7日間の平均,Moyenne sur 7 jours,Média de 7 dias,AI linguistic pass; human review pending,,
100점의 의미,100점의 의미,,100点の意味,Signification de 100,O que significa 100,AI linguistic pass; human review pending,,
"A bright, steady day.","A bright, steady day.",밝고 안정적인 하루.,穏やかで、いい一日。,"Une bonne journée, tranquille.",Um dia bom e tranquilo.,AI linguistic pass; human review pending,,
A heavier afternoon.,A heavier afternoon.,조금 무거운 오후.,ちょっとしんどい午後。,Un après-midi un peu difficile.,Uma tarde meio difícil.,AI linguistic pass; human review pending,,
A new chapter is starting,A new chapter is starting,새로운 챕터가 시작돼요,新しい記録の始まりです,Vos premiers jours sur Scoor,Começando seus registros,AI linguistic pass; human review pending,,
A softer stretch — be gentle with yourself,A softer stretch — be gentle with yourself,조금 가라앉는 시기 — 스스로에게 다정하게,少し低めの日が続いています。無理せずに。,Des jours moins faciles. Prenez soin de vous.,Os dias andam mais difíceis. Vá com calma.,AI linguistic pass; human review pending,,
About,About,정보,このアプリについて,À propos,Sobre,AI linguistic pass; human review pending,,
Account,Account,계정,アカウント,Compte,Conta,AI linguistic pass; human review pending,,
Add one tiny note (optional),Add one tiny note (optional),짧은 메모 추가 (선택),ひとこと残す（任意）,Ajouter une note (facultatif),Adicione uma nota (opcional),AI linguistic pass; human review pending,,
Add today's score,Add today's score,오늘의 점수 추가,今日のスコアをつける,Noter ma journée,Dar uma nota para hoje,AI linguistic pass; human review pending,,
AI INSIGHT,AI INSIGHT,AI 인사이트,AIによる振り返り,ANALYSE IA,ANÁLISE COM IA,AI linguistic pass; human review pending,,
AI INSIGHTS,AI INSIGHTS,AI 인사이트,AIによる振り返り,ANALYSES IA,ANÁLISES COM IA,AI linguistic pass; human review pending,,
An incredible day.,An incredible day.,정말 멋진 하루.,最高の一日。,Une journée au top.,Um dia incrível.,AI linguistic pass; human review pending,,
An ordinary day worth keeping.,An ordinary day worth keeping.,간직할 만한 평범한 하루.,いつもどおりの一日。,Une journée comme les autres.,Um dia como qualquer outro.,AI linguistic pass; human review pending,,
Around the world,Around the world,전 세계에서,世界の記録,À travers le monde,Pelo mundo,AI linguistic pass; human review pending,,
Average %lld,Average %lld,평균 %lld,平均%lld点,Moyenne : %lld,Média: %lld,AI linguistic pass; human review pending,,
Based on the last 14 days,Based on the last 14 days,최근 14일 기준,過去14日間の記録から,Sur les 14 derniers jours,Com base nos últimos 14 dias,AI linguistic pass; human review pending,,
Be gentle with yourself tonight.,Be gentle with yourself tonight.,오늘 밤은 스스로에게 다정하게.,今夜はゆっくり休んでください。,Prenez du temps pour vous ce soir.,"Hoje à noite, descanse um pouco.",AI linguistic pass; human review pending,,
Choose profile image,Choose profile image,프로필 이미지 선택,プロフィール画像を選ぶ,Choisir une photo de profil,Escolher foto de perfil,AI linguistic pass; human review pending,,
Choose your Scoor name,Choose your Scoor name,Scoor 이름을 정하세요,Scoorで使う名前を決める,Choisissez votre nom sur Scoor,Escolha seu nome no Scoor,AI linguistic pass; human review pending,,
"Connect with friends and
see their daily scores","Connect with friends and
see their daily scores","친구와 연결하고
매일의 점수를 확인하세요","友だちとつながって
毎日のスコアを見てみよう","Retrouvez vos amis et
découvrez leurs scores du jour","Conecte-se com amigos e
veja as notas do dia deles",AI linguistic pass; human review pending,,
Continue,Continue,계속하기,続ける,Continuer,Continuar,AI linguistic pass; human review pending,,
Could not save. Try again.,Could not save. Try again.,저장하지 못했어요. 다시 시도해 주세요.,保存できませんでした。もう一度お試しください。,Enregistrement impossible. Réessayez.,Não foi possível salvar. Tente de novo.,AI linguistic pass; human review pending,,
Create your account,Create your account,계정을 만들어요,アカウントを作成,Créer un compte,Criar conta,AI linguistic pass; human review pending,,
Creating...,Creating...,만드는 중…,作成中…,Création…,Criando…,AI linguistic pass; human review pending,,
CURRENT STREAK,CURRENT STREAK,연속 기록,現在の連続記録,SÉRIE EN COURS,SEQUÊNCIA ATUAL,AI linguistic pass; human review pending,,
Daily Reminder,Daily Reminder,매일 리마인더,毎日のリマインダー,Rappel quotidien,Lembrete diário,AI linguistic pass; human review pending,,
DAILY SCORE,DAILY SCORE,오늘의 점수,今日のスコア,SCORE DU JOUR,NOTA DO DIA,AI linguistic pass; human review pending,,
Dark,Dark,다크,ダーク,Sombre,Escuro,AI linguistic pass; human review pending,,
Delete,Delete,삭제,削除,Supprimer,Excluir,AI linguistic pass; human review pending,,
delete.left,delete.left,delete.left,delete.left,delete.left,delete.left,AI linguistic pass; human review pending,,
Done,Done,완료,完了,Terminé,Concluir,AI linguistic pass; human review pending,,
EMOTIONAL FLOW,EMOTIONAL FLOW,감정 흐름,気分の変化,ÉVOLUTION DE L’HUMEUR,VARIAÇÃO DO HUMOR,AI linguistic pass; human review pending,,
Feed,Feed,피드,フィード,Fil,Feed,AI linguistic pass; human review pending,,
Find a country or city...,Find a country or city...,국가나 도시를 검색해보세요,国や都市を検索…,Rechercher un pays ou une ville…,Buscar país ou cidade…,AI linguistic pass; human review pending,,
First entry of your week.,First entry of your week.,이번 주 첫 기록이에요.,今週はじめての記録です。,Votre première entrée de la semaine.,Seu primeiro registro da semana.,AI linguistic pass; human review pending,,
FIRST SCOOR,FIRST SCOOR,첫 Scoor,はじめてのSCOOR,PREMIER SCOOR,PRIMEIRO SCOOR,AI linguistic pass; human review pending,,
From your own days,From your own days,내가 기록한 날들에서,あなたの記録から,D’après vos journées,Com base nos seus dias,AI linguistic pass; human review pending,,
Generated by Scoor for iOS,Generated by Scoor for iOS,Scoor for iOS에서 생성됨,Scoor for iOSで作成,Créé avec Scoor pour iOS,Criado com Scoor para iOS,AI linguistic pass; human review pending,,
GLOBAL SCOOR,GLOBAL SCOOR,글로벌 Scoor,世界のSCOOR,SCOOR MONDIAL,SCOOR GLOBAL,AI linguistic pass; human review pending,,
Guestbook,Guestbook,방명록,メッセージ帳,Livre d’or,Mural de recados,AI linguistic pass; human review pending,,
HAPPIEST,HAPPIEST,가장 좋은 날,いちばんいい日,MEILLEUR JOUR,MELHOR DIA,AI linguistic pass; human review pending,,
High,High,높음,高い,Élevé,Alto,AI linguistic pass; human review pending,,
How many points was your day today?,How many points was your day today?,오늘 하루는 몇 점인가요?,今日の一日は何点？,Quelle note pour votre journée ?,Que nota você dá para o seu dia?,AI linguistic pass; human review pending,,
How was today?,How was today?,오늘 하루는 어땠나요?,今日はどうでしたか？,Comment s’est passée la journée ?,Como foi hoje?,AI linguistic pass; human review pending,,
How was your day today?,How was your day today?,오늘 하루는 어땠나요?,今日はどんな一日でしたか？,Comment s’est passée votre journée ?,Como foi seu dia hoje?,AI linguistic pass; human review pending,,
How was your day?,How was your day?,오늘 하루는 어땠나요?,今日はどんな一日でしたか？,Comment s’est passée votre journée ?,Como foi seu dia?,AI linguistic pass; human review pending,,
How's your day?,How's your day?,,今日はどんな一日？,Comment se passe votre journée ?,Como está seu dia?,AI linguistic pass; human review pending,,
How's your day? scoor!,How's your day? scoor!,,今日は何点？ scoor!,Quelle note pour votre journée ? scoor !,Que nota você dá para o seu dia? scoor!,AI linguistic pass; human review pending,,
In rhythm with your week,In rhythm with your week,이번 주 리듬과 비슷해요,今週の平均と同じくらい,Dans la moyenne de votre semaine,Na média da sua semana,AI linguistic pass; human review pending,,
Intensity represents your daily score,Intensity represents your daily score,색의 진하기는 일일 점수를 나타냅니다,色の濃さがその日のスコアを表します,L’intensité de la couleur représente le score du jour,A intensidade da cor representa a nota do dia,AI linguistic pass; human review pending,,
Just enough to save your days.,Just enough to save your days.,하루를 저장할 만큼만.,毎日を、手軽に記録。,Gardez une trace de vos journées.,Guarde um registro dos seus dias.,AI linguistic pass; human review pending,,
Language,Language,언어,言語,Langue,Idioma,AI linguistic pass; human review pending,,
Light,Light,라이트,ライト,Clair,Claro,AI linguistic pass; human review pending,,
LIVE,LIVE,실시간,ライブ,EN DIRECT,AO VIVO,AI linguistic pass; human review pending,,
Low,Low,낮음,低い,Faible,Baixo,AI linguistic pass; human review pending,,
MATCH SCOOR,MATCH SCOOR,경기 Scoor,試合のSCOOR,SCOOR DU MATCH,SCOOR DA PARTIDA,AI linguistic pass; human review pending,,
MONTH AVG,MONTH AVG,이번 달 평균,月の平均,MOY. DU MOIS,MÉDIA DO MÊS,AI linguistic pass; human review pending,,
MONTH COMPLETION,MONTH COMPLETION,이번 달 달성률,今月の記録率,JOURS RENSEIGNÉS,DIAS REGISTRADOS,AI linguistic pass; human review pending,,
MONTHLY AVG,MONTHLY AVG,월 평균,月の平均,MOY. DU MOIS,MÉDIA DO MÊS,AI linguistic pass; human review pending,,
MONTHLY REPORT,MONTHLY REPORT,월간 리포트,月のまとめ,BILAN DU MOIS,RESUMO DO MÊS,AI linguistic pass; human review pending,,
Monthly score intensity,Monthly score intensity,월간 점수 강도,月ごとのスコア分布,Intensité des scores du mois,Intensidade das notas do mês,AI linguistic pass; human review pending,,
MVP,MVP,MVP,MVP,MVP,MVP,AI linguistic pass; human review pending,,
My Page,My Page,,マイページ,Mon profil,Meu perfil,AI linguistic pass; human review pending,,
My Scoor month,My Scoor month,이번 달의 Scoor,今月のScoor,Mon mois sur Scoor,Meu mês no Scoor,AI linguistic pass; human review pending,,
My Scoors,My Scoors,나의 Scoor,自分のScoor,Mes Scoors,Meus Scoors,AI linguistic pass; human review pending,,
Next reminder,Next reminder,다음 리마인더,次のリマインダー,Prochain rappel,Próximo lembrete,AI linguistic pass; human review pending,,
No note for this day,No note for this day,이 날의 메모 없음,この日のメモはありません,Aucune note pour ce jour,Sem anotação para este dia,AI linguistic pass; human review pending,,
No score yet for today,No score yet for today,오늘은 아직 점수가 없어요,今日のスコアはまだありません,Votre journée n’est pas encore notée,Você ainda não deu uma nota para hoje,AI linguistic pass; human review pending,,
Not now,Not now,나중에,あとで,Pas maintenant,Agora não,AI linguistic pass; human review pending,,
Notifications,Notifications,알림,通知,Notifications,Notificações,AI linguistic pass; human review pending,,
Notifications are off — enable in Settings,Notifications are off — enable in Settings,알림이 꺼져 있어요 — 설정에서 켜세요,通知がオフです。設定でオンにできます,Notifications désactivées. Activez-les dans les réglages.,As notificações estão desativadas. Ative nos ajustes.,AI linguistic pass; human review pending,,
Now start recording your days.,Now start recording your days.,이제 하루를 기록해 보세요.,今日から記録を始めましょう。,Commencez à noter vos journées.,Comece a registrar seus dias.,AI linguistic pass; human review pending,,
officialscoor@gmail.com,officialscoor@gmail.com,,officialscoor@gmail.com,officialscoor@gmail.com,officialscoor@gmail.com,AI linguistic pass; human review pending,,
or keep it instant,or keep it instant,아니면 바로 기록하기,または、すぐに始める,ou commencez tout de suite,ou comece agora,AI linguistic pass; human review pending,,
part of the world.,part of the world.,세계의 일부.,世界の記録のひとつに。,avec le reste du monde.,junto com o resto do mundo.,AI linguistic pass; human review pending,,
PATTERN SUMMARY,PATTERN SUMMARY,패턴 요약,記録の傾向,TENDANCES,TENDÊNCIAS,AI linguistic pass; human review pending,,
Preferences,Preferences,환경설정,環境設定,Préférences,Preferências,AI linguistic pass; human review pending,,
Privacy Policy,Privacy Policy,개인정보 처리방침,プライバシーポリシー,Politique de confidentialité,Política de Privacidade,AI linguistic pass; human review pending,,
PRIVATE,PRIVATE,비공개,非公開,PRIVÉ,PRIVADO,AI linguistic pass; human review pending,,
"Recent day, score %lld%@. Tap to edit.","Recent day, score %1$lld%2$@. Tap to edit.","최근 기록, %lld점%@. 탭하면 수정합니다.",最近の記録、%1$lld点%2$@。タップして編集。,"Entrée récente, score : %1$lld%2$@. Touchez pour modifier.","Registro recente, nota %1$lld%2$@. Toque para editar.",AI linguistic pass; human review pending,,
Record a few days — your patterns will appear here,Record a few days — your patterns will appear here,며칠 기록하면 패턴이 보여요,数日分を記録すると、ここに傾向が表示されます,Notez quelques journées pour voir vos tendances ici,Registre alguns dias para ver suas tendências aqui,AI linguistic pass; human review pending,,
Record today,Record today,오늘 기록하기,今日を記録する,Noter ma journée,Registrar hoje,AI linguistic pass; human review pending,,
Recording every day builds your story,Recording every day builds your story,매일 기록하면 당신의 이야기가 쌓여요,毎日の記録が少しずつ増えていきます,Retrouvez vos journées au fil des entrées,Acompanhe seus dias a cada registro,AI linguistic pass; human review pending,,
Reminder Time,Reminder Time,리마인더 시간,リマインダーの時刻,Heure du rappel,Horário do lembrete,AI linguistic pass; human review pending,,
Reply,Reply,답글,返信,Répondre,Responder,AI linguistic pass; human review pending,,
Scoor,Scoor,Scoor,Scoor,Scoor,Scoor,AI linguistic pass; human review pending,,
Scoor learns the rhythm of your days quietly,Scoor learns the rhythm of your days quietly,Scoor가 당신의 하루 리듬을 조용히 익혀요,日々の記録から、あなたの傾向が見えてきます,Scoor vous aide à repérer vos habitudes,O Scoor ajuda a perceber padrões nos seus dias,AI linguistic pass; human review pending,,
Scoor 감정 트래커,Scoor emotion tracker,Scoor 감정 트래커,Scoor 気分トラッカー,"Scoor, suivi de l’humeur","Scoor, registro de humor",AI linguistic pass; human review pending,,
Scoor 공식 글,Scoor 공식 글,,Scoor公式の投稿,Publication officielle de Scoor,Publicação oficial do Scoor,AI linguistic pass; human review pending,,
Scoor 만점 100,Perfect Scoor: 100,Scoor 만점 100,Scoorの満点は100点,Score Scoor maximal : 100,Nota máxima no Scoor: 100,AI linguistic pass; human review pending,,
Scoor 점수 %lld,Scoor 점수 %lld,,Scoorスコア%lld点,Score Scoor : %lld,Nota no Scoor: %lld,AI linguistic pass; human review pending,,
scoor.app,scoor.app,scoor.app,scoor.app,scoor.app,scoor.app,AI linguistic pass; human review pending,,
Score bubbles will appear here,Score bubbles will appear here,점수 버블이 여기에 표시됩니다,ここにスコアが表示されます,Vos scores apparaîtront ici,Suas notas vão aparecer aqui,AI linguistic pass; human review pending,,
See how the world feels today.,See how the world feels today.,오늘 세상의 기분을 살펴보세요.,今日、世界のみんなはどんな気分？,Découvrez l’humeur du monde aujourd’hui.,Veja como o mundo está se sentindo hoje.,AI linguistic pass; human review pending,,
Settings,Settings,설정,設定,Réglages,Ajustes,AI linguistic pass; human review pending,,
Share Report Card,Share Report Card,리포트 카드 공유,月のまとめを共有,Partager le bilan,Compartilhar resumo,AI linguistic pass; human review pending,,
SHARE YOUR MONTH,SHARE YOUR MONTH,이번 달 공유,今月の記録を共有,PARTAGEZ VOTRE MOIS,COMPARTILHE SEU MÊS,AI linguistic pass; human review pending,,
Sign in to see your page,Sign in to see your page,로그인하고 내 페이지를 확인하세요,ログインしてマイページを見る,Connectez-vous pour voir votre profil,Entre para ver seu perfil,AI linguistic pass; human review pending,,
Skip,Skip,건너뛰기,スキップ,Passer,Pular,AI linguistic pass; human review pending,,
Social,Social,소셜,ソーシャル,Communauté,Comunidade,AI linguistic pass; human review pending,,
Soft pace — take it slow.,Soft pace — take it slow.,"천천히, 여유롭게.",ゆっくり、自分のペースで。,Allez à votre rythme.,Vá no seu ritmo.,AI linguistic pass; human review pending,,
"soft, quick, honest","soft, quick, honest","부드럽고, 빠르고, 솔직하게",気軽に、さっと、ありのまま,"simple, rapide, sincère","simples, rápido, sincero",AI linguistic pass; human review pending,,
Start in seconds. No long forms.,Start in seconds. No long forms.,몇 초면 시작해요. 긴 양식 없이.,すぐに始められます。長い入力は不要です。,Quelques secondes suffisent. Pas de long formulaire.,Comece em segundos. Sem formulário longo.,AI linguistic pass; human review pending,,
STATS,STATS,통계,統計,STATISTIQUES,ESTATÍSTICAS,AI linguistic pass; human review pending,,
Still finding your rhythm,Still finding your rhythm,아직 리듬을 찾는 중,もう少し記録すると傾向が見えてきます,Encore quelques jours pour voir vos tendances,Mais alguns dias para ver suas tendências,AI linguistic pass; human review pending,,
STREAK,STREAK,연속,連続記録,SÉRIE,SEQUÊNCIA,AI linguistic pass; human review pending,,
STREAK · 일,STREAK · DAYS,연속 · 일,連続記録 · 日,SÉRIE · JOURS,SEQUÊNCIA · DIAS,AI linguistic pass; human review pending,,
Suggestions,Suggestions,추천,おすすめ,Suggestions,Sugestões,AI linguistic pass; human review pending,,
System,System,시스템,システムに合わせる,Système,Sistema,AI linguistic pass; human review pending,,
Tap + when you're ready to record.,Tap + when you're ready to record.,준비되면 + 를 눌러 기록하세요.,記録するときは＋をタップ。,Touchez + pour ajouter une entrée.,Toque em + para registrar.,AI linguistic pass; human review pending,,
Tap the + button to add today's entry,Tap the + button to add today's entry,+ 버튼을 눌러 오늘 기록을 추가하세요,＋ボタンで今日を記録できます,Touchez + pour noter votre journée,Toque em + para registrar seu dia,AI linguistic pass; human review pending,,
Tap your score. Trust the first feeling.,Tap your score. Trust the first feeling.,점수를 탭하세요. 첫 느낌을 믿어요.,今の気分で、点数をつけてみましょう。,Choisissez le score qui vous vient à l’esprit.,Escolha a nota que vier à cabeça.,AI linguistic pass; human review pending,,
Terms of Service,Terms of Service,이용약관,利用規約,Conditions d’utilisation,Termos de Uso,AI linguistic pass; human review pending,,
Theme,Theme,테마,テーマ,Thème,Tema,AI linguistic pass; human review pending,,
This is how people find your daily scores.,This is how people find your daily scores.,사람들이 당신의 점수를 찾는 이름이에요.,この名前で、あなたのスコアを見つけられます。,Ce nom permet de retrouver vos scores.,É por esse nome que as pessoas vão encontrar suas notas.,AI linguistic pass; human review pending,,
This space fills with your own rhythm as you record days,This space fills with your own rhythm as you record days,기록이 쌓이면 이 자리가 나의 리듬으로 채워져요,記録を続けると、ここで日々の変化を振り返れます,Vos journées s’afficheront ici au fil de vos entrées,Seus dias vão aparecer aqui conforme você registrar,AI linguistic pass; human review pending,,
THIS WEEK,THIS WEEK,이번 주,今週,CETTE SEMAINE,ESTA SEMANA,AI linguistic pass; human review pending,,
time.short.days,%lldd,%lld일,%lld日,%lld j,%lld d,AI linguistic pass; human review pending,,
time.short.hours,%lldh,%lld시간,%lld時間,%lld h,%lld h,AI linguistic pass; human review pending,,
time.short.minutes,%lldm,%lld분,%lld分,%lld min,%lld min,AI linguistic pass; human review pending,,
time.short.seconds,%llds,%lld초,%lld秒,%lld s,%lld s,AI linguistic pass; human review pending,,
time.short.weeks,%lldw,%lld주,%lld週間,%lld sem.,%lld sem,AI linguistic pass; human review pending,,
TODAY,TODAY,오늘,今日,AUJOURD’HUI,HOJE,AI linguistic pass; human review pending,,
Today felt better than expected.,Today felt better than expected.,생각보다 좋은 하루였어요.,思っていたより、いい一日だった。,"Mieux que prévu, cette journée.",O dia foi melhor do que eu esperava.,AI linguistic pass; human review pending,,
Today's Scoor,Today's Scoor,오늘의 Scoor,今日のScoor,Scoor du jour,Scoor de hoje,AI linguistic pass; human review pending,,
TODAY'S SCORE,TODAY'S SCORE,오늘의 점수,今日のスコア,SCORE DU JOUR,NOTA DO DIA,AI linguistic pass; human review pending,,
todaywas84,todaywas84,,todaywas84,todaywas84,todaywas84,AI linguistic pass; human review pending,,
Top Day,Top Day,최고의 날,最高の日,Meilleur jour,Melhor dia,AI linguistic pass; human review pending,,
User scores will appear here,User scores will appear here,사용자 점수가 여기에 표시됩니다,みんなのスコアがここに表示されます,Les scores apparaîtront ici,As notas das pessoas vão aparecer aqui,AI linguistic pass; human review pending,,
Version 1.0,Version 1.0,Version 1.0,バージョン1.0,Version 1.0,Versão 1.0,AI linguistic pass; human review pending,,
Version 1.0 (1),Version 1.0 (1),Version 1.0 (1),バージョン1.0 (1),Version 1.0 (1),Versão 1.0 (1),AI linguistic pass; human review pending,,
Warm and solid.,Warm and solid.,따뜻하고 단단한 하루.,落ち着いて過ごせた。,Une journée où l’on se sent bien.,Um dia em que tudo ficou bem.,AI linguistic pass; human review pending,,
WEEK AVERAGE,WEEK AVERAGE,주 평균,週の平均,MOYENNE DE LA SEMAINE,MÉDIA DA SEMANA,AI linguistic pass; human review pending,,
WEEKLY PERFORMANCE,WEEKLY PERFORMANCE,주간 추이,1週間の振り返り,BILAN DE LA SEMAINE,RESUMO DA SEMANA,AI linguistic pass; human review pending,,
"Welcome, Scoorer!","Welcome, Scoorer!","환영해요, Scoorer!",Scoorへようこそ！,Bienvenue sur Scoor !,Boas-vindas ao Scoor!,AI linguistic pass; human review pending,,
What score would you give today?,What score would you give today?,오늘은 몇 점을 주시겠어요?,今日の一日は何点？,Quelle note pour votre journée ?,Que nota você dá para o seu dia?,AI linguistic pass; human review pending,,
What's the number for today?,What's the number for today?,오늘의 점수는?,今日の一日は何点？,Quelle note pour votre journée ?,Que nota você dá para o seu dia?,AI linguistic pass; human review pending,,
